"CUS_ID","d_v_ 1","d_v_ 2","d_v_ 3","d_v_ 4","d_v_ 5","d_v_ 6","d_v_ 7","d_v_ 8","d_v_ 9","d_v_ 10","d_v_ 11","d_v_ 12","d_v_ 13","d_v_ 14","d_v_ 15","d_v_ 16","d_v_ 17","d_v_ 18","d_v_ 19","d_v_ 20","d_v_ 21","d_v_ 22","n_v_ 1","n_v_ 2","n_v_ 3","n_v_ 4","n_v_ 5","n_v_ 6","n_v_ 7","n_v_ 8","n_v_ 9","n_v_ 10","n_v_ 11","n_v_ 12","n_v_ 13","n_v_ 14","n_v_ 15","n_v_ 16","n_v_ 17","n_v_ 18","n_v_ 19","n_v_ 20","n_v_ 21","n_v_ 22","p_v_ 1","p_v_ 2","p_v_ 3","p_v_ 4","p_v_ 5","p_v_ 6","p_v_ 7","p_v_ 8","p_v_ 9","p_v_ 10","p_v_ 11","p_v_ 12","p_v_ 13","p_v_ 14","p_v_ 15","p_v_ 16","p_v_ 17","p_v_ 18","p_v_ 19","p_v_ 20","p_v_ 21","p_v_ 22"
748,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,262,NA,2,162,NA,2,NA,2,5,223,1,27,6,4,1,997,4,9,4,232,NA,0.103,13.47,NA,0.103,8.329,NA,0.103,NA,0.103,0.257,11.465,0.051,1.388,0.308,0.206,0.051,51.26,0.206,0.463,0.206,11.928,NA
749,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,21,2,192,368,1616,4,18,3,9,34,557,NA,50,12,212,14,3106,13,86,7,372,NA,0.314,0.03,2.867,5.496,24.134,0.06,0.269,0.045,0.134,0.508,8.318,NA,0.747,0.179,3.166,0.209,46.386,0.194,1.284,0.105,5.556,NA
750,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,6,NA,5,17,1084,NA,8,2,3,34,405,1,95,NA,49,5,1107,14,5,15,681,NA,0.17,NA,0.141,0.481,30.656,NA,0.226,0.057,0.085,0.962,11.454,0.028,2.687,NA,1.386,0.141,31.307,0.396,0.141,0.424,19.259,NA
751,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,NA,NA,1,124,12,NA,1,NA,1,2,43,NA,2,2,NA,1,120,2,1,1,11,NA,NA,NA,0.309,38.272,3.704,NA,0.309,NA,0.309,0.617,13.272,NA,0.617,0.617,NA,0.309,37.037,0.617,0.309,0.309,3.395,NA
752,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,6,5,266,NA,5,3,NA,4,800,1,27,2,29,13,2858,2,1,3,356,NA,0.046,0.023,0.137,0.114,6.068,NA,0.114,0.068,NA,0.091,18.248,0.023,0.616,0.046,0.661,0.297,65.192,0.046,0.023,0.068,8.12,NA
753,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,NA,9,2,15,28,NA,37,8,7,4,80,NA,9,NA,1,NA,1037,3,8,9,32,NA,NA,0.698,0.155,1.164,2.172,NA,2.87,0.621,0.543,0.31,6.206,NA,0.698,NA,0.078,NA,80.45,0.233,0.621,0.698,2.483,NA
754,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,7,NA,6,154,NA,1,NA,12,1,21,1,17,1,NA,NA,423,2,1,1,70,NA,0.139,0.974,NA,0.834,21.419,NA,0.139,NA,1.669,0.139,2.921,0.139,2.364,0.139,NA,NA,58.832,0.278,0.139,0.139,9.736,NA
755,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,13,7,80,228,NA,31,3,25,6,305,1,73,38,28,3,1543,41,29,12,287,1,0.073,0.472,0.254,2.903,8.273,NA,1.125,0.109,0.907,0.218,11.067,0.036,2.649,1.379,1.016,0.109,55.987,1.488,1.052,0.435,10.414,0.036
756,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,NA,124,49,2,103,2,1,2,NA,3,20,NA,336,NA,7,NA,1204,NA,2,NA,492,NA,NA,5.283,2.088,0.085,4.389,0.085,0.043,0.085,NA,0.128,0.852,NA,14.316,NA,0.298,NA,51.3,NA,0.085,NA,20.963,NA
757,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,NA,1,NA,2,32,NA,1,1,NA,7,749,NA,112,3,2,NA,589,6,2,12,75,NA,NA,0.063,NA,0.125,2.008,NA,0.063,0.063,NA,0.439,46.989,NA,7.026,0.188,0.125,NA,36.951,0.376,0.125,0.753,4.705,NA
758,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,NA,2,1,11,53,NA,17,1,1,11,267,NA,25,9,9,3,1041,6,16,15,132,NA,NA,0.123,0.062,0.679,3.272,NA,1.049,0.062,0.062,0.679,16.481,NA,1.543,0.556,0.556,0.185,64.259,0.37,0.988,0.926,8.148,NA
759,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,17,65,4,287,2127,1,7,34,5,44,1712,NA,796,6,30,19,3124,19,11,21,582,NA,0.191,0.729,0.045,3.221,23.869,0.011,0.079,0.382,0.056,0.494,19.212,NA,8.933,0.067,0.337,0.213,35.058,0.213,0.123,0.236,6.531,NA
760,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,6,4,12,7,428,75,10,12,4,3,170,5,45,3,16,NA,2020,13,31,5,396,NA,0.184,0.123,0.368,0.214,13.109,2.297,0.306,0.368,0.123,0.092,5.207,0.153,1.378,0.092,0.49,NA,61.868,0.398,0.949,0.153,12.129,NA
761,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,8,15,6,138,593,NA,119,3,20,19,512,12,144,7,4,7,1198,9,22,43,362,NA,0.247,0.463,0.185,4.258,18.297,NA,3.672,0.093,0.617,0.586,15.798,0.37,4.443,0.216,0.123,0.216,36.964,0.278,0.679,1.327,11.169,NA
762,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4,58,5,93,203,NA,14,NA,1,1,42,31,16,1,8,NA,911,2,10,6,115,50,0.255,3.692,0.318,5.92,12.922,NA,0.891,NA,0.064,0.064,2.673,1.973,1.018,0.064,0.509,NA,57.989,0.127,0.637,0.382,7.32,3.183
763,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,460,394,NA,22,NA,7,44,905,1,6,NA,1,17,1075,168,50,6,79,NA,0.031,0.031,0.062,14.202,12.164,NA,0.679,NA,0.216,1.358,27.941,0.031,0.185,NA,0.031,0.525,33.189,5.187,1.544,0.185,2.439,NA
764,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,3,NA,1,207,37,NA,30,1,3,31,410,NA,20,1,NA,81,813,4,14,7,660,NA,0.129,NA,0.043,8.911,1.593,NA,1.291,0.043,0.129,1.334,17.65,NA,0.861,0.043,NA,3.487,34.998,0.172,0.603,0.301,28.412,NA
765,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,20,19,67,560,15,21,7,18,63,336,1,62,240,19,12,2887,26,16,15,785,1,0.173,0.385,0.365,1.289,10.771,0.289,0.404,0.135,0.346,1.212,6.463,0.019,1.193,4.616,0.365,0.231,55.53,0.5,0.308,0.289,15.099,0.019
766,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,NA,NA,NA,19,1,NA,NA,NA,NA,NA,21,NA,2726,NA,23,NA,8,NA,NA,NA,40,NA,NA,NA,NA,0.669,0.035,NA,NA,NA,NA,NA,0.74,NA,96.054,NA,0.81,NA,0.282,NA,NA,NA,1.409,NA
767,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,4,13,114,NA,8,NA,2,33,67,4,78,9,10,2,812,NA,17,1,383,NA,0.064,0.064,0.257,0.834,7.312,NA,0.513,NA,0.128,2.117,4.298,0.257,5.003,0.577,0.641,0.128,52.085,NA,1.09,0.064,24.567,NA
768,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,NA,3,NA,38,134,NA,1,1,6,24,701,8,45,4,NA,7,1133,12,12,1,132,NA,NA,0.133,NA,1.68,5.924,NA,0.044,0.044,0.265,1.061,30.99,0.354,1.989,0.177,NA,0.309,50.088,0.531,0.531,0.044,5.836,NA
769,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,NA,3,12,197,NA,3,5,26,1,8,1,86,2,2,NA,722,3,13,2,80,NA,0.086,NA,0.257,1.028,16.881,NA,0.257,0.428,2.228,0.086,0.686,0.086,7.369,0.171,0.171,NA,61.868,0.257,1.114,0.171,6.855,NA
770,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2,NA,2,79,1003,NA,16,NA,27,3,249,NA,18,15,8,6,2171,3,68,5,157,NA,0.052,NA,0.052,2.062,26.174,NA,0.418,NA,0.705,0.078,6.498,NA,0.47,0.391,0.209,0.157,56.654,0.078,1.775,0.13,4.097,NA
771,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,11,NA,135,426,NA,14,1,25,62,459,2,172,20,15,13,1975,22,14,6,534,NA,0.026,0.282,NA,3.455,10.904,NA,0.358,0.026,0.64,1.587,11.748,0.051,4.402,0.512,0.384,0.333,50.55,0.563,0.358,0.154,13.668,NA
772,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,11,29,28,1808,NA,46,5,17,19,1180,1,198,9,58,41,2491,52,13,10,625,1,0.21,0.165,0.436,0.421,27.163,NA,0.691,0.075,0.255,0.285,17.728,0.015,2.975,0.135,0.871,0.616,37.425,0.781,0.195,0.15,9.39,0.015
773,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,61,2,110,174,NA,25,1,6,59,376,5,63,2,5,12,1755,48,35,2,460,1,0.125,1.903,0.062,3.431,5.427,NA,0.78,0.031,0.187,1.84,11.728,0.156,1.965,0.062,0.156,0.374,54.741,1.497,1.092,0.062,14.348,0.031
774,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,434,6,59,509,NA,21,6,18,27,662,3,97,2,7,7,2432,40,95,28,307,1,0.084,9.108,0.126,1.238,10.682,NA,0.441,0.126,0.378,0.567,13.893,0.063,2.036,0.042,0.147,0.147,51.039,0.839,1.994,0.588,6.443,0.021
775,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,NA,40,22,86,35,NA,4,1,21,NA,116,3,38,14,115,NA,938,3,9,11,226,1,NA,2.377,1.307,5.11,2.08,NA,0.238,0.059,1.248,NA,6.892,0.178,2.258,0.832,6.833,NA,55.734,0.178,0.535,0.654,13.428,0.059
776,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,1,4,NA,5568,NA,NA,NA,NA,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.411,0.018,0.071,NA,99.464,NA
777,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,NA,24,NA,6,70,NA,4,NA,2,6,18,1,8,NA,4,1,810,NA,44,4,86,NA,NA,2.206,NA,0.551,6.434,NA,0.368,NA,0.184,0.551,1.654,0.092,0.735,NA,0.368,0.092,74.449,NA,4.044,0.368,7.904,NA
778,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,NA,1,1,131,133,NA,6,NA,27,7,481,NA,10,9,1,30,791,5,1,5,84,NA,NA,0.058,0.058,7.603,7.719,NA,0.348,NA,1.567,0.406,27.916,NA,0.58,0.522,0.058,1.741,45.908,0.29,0.058,0.29,4.875,NA
779,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,NA,5,2,330,224,NA,15,NA,38,3,68,NA,46,4,51,NA,1380,17,1,1,53,NA,NA,0.223,0.089,14.745,10.009,NA,0.67,NA,1.698,0.134,3.038,NA,2.055,0.179,2.279,NA,61.662,0.76,0.045,0.045,2.368,NA
780,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,13,66,8,5,265,NA,3,5,2,11,37,1,24,34,NA,2,852,1,10,1,249,NA,0.818,4.154,0.503,0.315,16.677,NA,0.189,0.315,0.126,0.692,2.329,0.063,1.51,2.14,NA,0.126,53.619,0.063,0.629,0.063,15.67,NA
781,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,NA,1,294,369,NA,12,1,16,4,178,NA,4,5,6,4,1132,7,8,4,100,3,0.093,NA,0.047,13.674,17.163,NA,0.558,0.047,0.744,0.186,8.279,NA,0.186,0.233,0.279,0.186,52.651,0.326,0.372,0.186,4.651,0.14
782,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2,2,NA,337,231,NA,19,NA,7,4,979,NA,104,5,3,11,2615,23,69,6,157,NA,0.044,0.044,NA,7.368,5.05,NA,0.415,NA,0.153,0.087,21.404,NA,2.274,0.109,0.066,0.24,57.171,0.503,1.509,0.131,3.432,NA
783,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,3,2,125,178,NA,5,33,4,6,202,13,39,3,46,2,862,4,8,1,250,14,NA,0.167,0.111,6.944,9.889,NA,0.278,1.833,0.222,0.333,11.222,0.722,2.167,0.167,2.556,0.111,47.889,0.222,0.444,0.056,13.889,0.778
784,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,2,NA,95,69,NA,NA,NA,NA,13,101,1,3,14,16,2,411,4,8,5,161,NA,NA,0.221,NA,10.497,7.624,NA,NA,NA,NA,1.436,11.16,0.11,0.331,1.547,1.768,0.221,45.414,0.442,0.884,0.552,17.79,NA
785,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,11,NA,13,982,98,2,16,1,19,48,1079,2,22,61,17,13,1349,4,54,7,326,NA,0.267,NA,0.315,23.812,2.376,0.048,0.388,0.024,0.461,1.164,26.164,0.048,0.533,1.479,0.412,0.315,32.711,0.097,1.309,0.17,7.905,NA
786,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,43,450,NA,2,30,7,8,401,1,14,35,16,20,1125,7,69,3,212,NA,0.041,0.041,NA,1.759,18.405,NA,0.082,1.227,0.286,0.327,16.401,0.041,0.573,1.431,0.654,0.818,46.012,0.286,2.822,0.123,8.671,NA
787,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,7,5,1,98,1337,NA,16,6,18,16,836,NA,104,18,11,9,3519,49,53,7,1729,NA,0.089,0.064,0.013,1.25,17.056,NA,0.204,0.077,0.23,0.204,10.665,NA,1.327,0.23,0.14,0.115,44.891,0.625,0.676,0.089,22.056,NA
788,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,5,11,248,236,5,58,4,46,63,1005,2,71,793,23,9,2484,129,48,21,428,NA,0.105,0.088,0.193,4.355,4.144,0.088,1.018,0.07,0.808,1.106,17.647,0.035,1.247,13.924,0.404,0.158,43.617,2.265,0.843,0.369,7.515,NA
789,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,NA,228,NA,134,353,2,21,1,7,20,731,5,27,8,NA,4,3378,6,5,7,201,NA,NA,4.438,NA,2.608,6.87,0.039,0.409,0.019,0.136,0.389,14.227,0.097,0.525,0.156,NA,0.078,65.745,0.117,0.097,0.136,3.912,NA
790,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,NA,3,NA,7,135,6,NA,1,8,3,11,NA,32,2,9,NA,3920,NA,4,1,4993,NA,NA,0.033,NA,0.077,1.478,0.066,NA,0.011,0.088,0.033,0.12,NA,0.35,0.022,0.099,NA,42.912,NA,0.044,0.011,54.658,NA
791,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,NA,1,3,98,236,1,11,2,4,49,104,3,15,NA,58,10,681,26,29,6,328,1,NA,0.06,0.18,5.882,14.166,0.06,0.66,0.12,0.24,2.941,6.242,0.18,0.9,NA,3.481,0.6,40.876,1.561,1.741,0.36,19.688,0.06
792,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,8,1,3,136,817,NA,15,4,16,17,393,NA,31,NA,5,3,1807,4,16,7,338,NA,0.221,0.028,0.083,3.756,22.563,NA,0.414,0.11,0.442,0.469,10.853,NA,0.856,NA,0.138,0.083,49.903,0.11,0.442,0.193,9.334,NA
793,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,NA,23,399,NA,10,5,1,14,180,21,111,9,8,1,1058,14,2,6,442,1,0.259,0.173,NA,0.994,17.235,NA,0.432,0.216,0.043,0.605,7.775,0.907,4.795,0.389,0.346,0.043,45.702,0.605,0.086,0.259,19.093,0.043
794,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,84,NA,23,8,744,NA,NA,1,2,6,473,NA,19,3,38,5,1994,2,10,4,185,1,2.332,NA,0.639,0.222,20.655,NA,NA,0.028,0.056,0.167,13.132,NA,0.527,0.083,1.055,0.139,55.358,0.056,0.278,0.111,5.136,0.028
795,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,15,340,2,1243,1936,NA,89,8,11,22,2211,1,75,21,15,12,3340,119,217,10,322,NA,0.15,3.397,0.02,12.419,19.343,NA,0.889,0.08,0.11,0.22,22.09,0.01,0.749,0.21,0.15,0.12,33.37,1.189,2.168,0.1,3.217,NA
796,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,3,46,1,107,140,NA,9,6,NA,2,68,NA,38,6,8,1,1067,19,14,NA,376,1,0.157,2.406,0.052,5.596,7.322,NA,0.471,0.314,NA,0.105,3.556,NA,1.987,0.314,0.418,0.052,55.805,0.994,0.732,NA,19.665,0.052
797,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,13,9,NA,315,170,NA,1,2,2,1,14,NA,14,7,19,NA,1006,NA,NA,NA,64,NA,0.794,0.55,NA,19.243,10.385,NA,0.061,0.122,0.122,0.061,0.855,NA,0.855,0.428,1.161,NA,61.454,NA,NA,NA,3.91,NA
798,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,NA,26,25,129,NA,407,1,NA,2,30,NA,15,4,10,1,772,NA,28,2,598,NA,0.049,NA,1.268,1.219,6.29,NA,19.844,0.049,NA,0.098,1.463,NA,0.731,0.195,0.488,0.049,37.64,NA,1.365,0.098,29.157,NA
799,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,NA,1,237,2,104,NA,NA,NA,2,4,116,NA,56,2,47,NA,930,NA,NA,2,236,NA,NA,0.058,13.629,0.115,5.98,NA,NA,NA,0.115,0.23,6.671,NA,3.22,0.115,2.703,NA,53.479,NA,NA,0.115,13.571,NA
800,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,11,387,3,10,85,NA,75,2,6,89,246,NA,86,3,10,3,1792,9,NA,7,705,NA,0.312,10.966,0.085,0.283,2.409,NA,2.125,0.057,0.17,2.522,6.971,NA,2.437,0.085,0.283,0.085,50.779,0.255,NA,0.198,19.977,NA
801,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,16,129,128,889,NA,99,5,38,7,503,1,37,13,142,16,2430,5,21,3,1089,NA,NA,0.287,2.316,2.298,15.958,NA,1.777,0.09,0.682,0.126,9.029,0.018,0.664,0.233,2.549,0.287,43.619,0.09,0.377,0.054,19.548,NA
802,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2,144,11,74,175,NA,16,4,5,11,300,NA,78,3,144,4,1294,13,34,2,190,NA,0.08,5.751,0.439,2.955,6.989,NA,0.639,0.16,0.2,0.439,11.981,NA,3.115,0.12,5.751,0.16,51.677,0.519,1.358,0.08,7.588,NA
803,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,NA,6,1,22,582,1,9,NA,1,4,1574,NA,13,13,15,3,1927,16,NA,4,546,NA,NA,0.127,0.021,0.464,12.286,0.021,0.19,NA,0.021,0.084,33.228,NA,0.274,0.274,0.317,0.063,40.68,0.338,NA,0.084,11.526,NA
804,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,NA,2,NA,45,180,NA,15,3,NA,8,55,NA,62,NA,2,7,1023,13,10,1,177,NA,NA,0.125,NA,2.807,11.229,NA,0.936,0.187,NA,0.499,3.431,NA,3.868,NA,0.125,0.437,63.818,0.811,0.624,0.062,11.042,NA
805,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,10,1,11,46,267,NA,88,6,1,100,951,NA,11,26,16,35,2490,44,46,24,437,NA,0.217,0.022,0.239,0.998,5.792,NA,1.909,0.13,0.022,2.169,20.629,NA,0.239,0.564,0.347,0.759,54.013,0.954,0.998,0.521,9.479,NA
806,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,4,175,231,199,133,1116,3,11,23,158,1,43,5,11,11,1902,18,15,23,763,NA,0.041,0.083,3.61,4.766,4.106,2.744,23.025,0.062,0.227,0.475,3.26,0.021,0.887,0.103,0.227,0.227,39.241,0.371,0.309,0.475,15.742,NA
807,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,13,14,23,133,771,1,94,12,12,25,2615,13,70,33,50,8,3277,41,14,20,693,NA,0.164,0.177,0.29,1.677,9.72,0.013,1.185,0.151,0.151,0.315,32.968,0.164,0.883,0.416,0.63,0.101,41.314,0.517,0.177,0.252,8.737,NA
808,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,7,NA,NA,22,439,NA,1,1,1,14,422,NA,2,NA,1,25,780,11,4,27,122,NA,0.373,NA,NA,1.171,23.363,NA,0.053,0.053,0.053,0.745,22.459,NA,0.106,NA,0.053,1.33,41.511,0.585,0.213,1.437,6.493,NA
809,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4,2,84,339,NA,11,6,132,36,872,7,45,10,17,19,1462,22,3,10,363,NA,0.029,0.116,0.058,2.438,9.84,NA,0.319,0.174,3.832,1.045,25.312,0.203,1.306,0.29,0.493,0.552,42.438,0.639,0.087,0.29,10.537,NA
810,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,6,12,109,849,3,3,1,4,53,1061,9,129,2,47,131,1824,17,19,31,418,NA,0.042,0.127,0.254,2.304,17.949,0.063,0.063,0.021,0.085,1.121,22.431,0.19,2.727,0.042,0.994,2.77,38.562,0.359,0.402,0.655,8.837,NA
811,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,1,15,35,544,NA,8,4,1,3,143,1,58,17,127,4,1947,8,41,1,359,NA,NA,0.03,0.452,1.055,16.4,NA,0.241,0.121,0.03,0.09,4.311,0.03,1.749,0.513,3.829,0.121,58.698,0.241,1.236,0.03,10.823,NA
812,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,16,22,37,32,140,NA,11,3,20,3,490,NA,25,1,87,3,1055,5,11,12,185,NA,0.741,1.019,1.715,1.483,6.487,NA,0.51,0.139,0.927,0.139,22.706,NA,1.158,0.046,4.032,0.139,48.888,0.232,0.51,0.556,8.573,NA
813,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,5,63,31,7,185,2,25,52,4,8,65,NA,171,11,22,1,938,4,26,9,269,NA,0.263,3.319,1.633,0.369,9.747,0.105,1.317,2.74,0.211,0.421,3.425,NA,9.009,0.58,1.159,0.053,49.42,0.211,1.37,0.474,14.173,NA
814,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,NA,65,3,12,93,NA,1,NA,27,NA,188,8,70,NA,1,NA,953,19,8,10,103,NA,NA,4.164,0.192,0.769,5.958,NA,0.064,NA,1.73,NA,12.044,0.512,4.484,NA,0.064,NA,61.051,1.217,0.512,0.641,6.598,NA
815,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,11,4,3,27,2531,NA,14,15,108,16,42,5,198,4,50,2,3066,8,48,13,1490,NA,0.144,0.052,0.039,0.353,33.063,NA,0.183,0.196,1.411,0.209,0.549,0.065,2.587,0.052,0.653,0.026,40.052,0.105,0.627,0.17,19.464,NA
816,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,11,135,4,35,152,NA,5,2,2,1,382,NA,50,2,3,NA,798,13,70,6,187,NA,0.592,7.266,0.215,1.884,8.181,NA,0.269,0.108,0.108,0.054,20.56,NA,2.691,0.108,0.161,NA,42.949,0.7,3.767,0.323,10.065,NA
817,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,608,43,220,907,NA,19,NA,6,83,322,NA,31,5,135,4,2231,16,29,22,1153,3,0.051,10.411,0.736,3.767,15.531,NA,0.325,NA,0.103,1.421,5.514,NA,0.531,0.086,2.312,0.068,38.202,0.274,0.497,0.377,19.743,0.051
818,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,1,5,22,133,4,17,NA,4,56,1650,2,174,8,9,15,3614,115,10,18,513,NA,0.094,0.016,0.078,0.345,2.086,0.063,0.267,NA,0.063,0.878,25.878,0.031,2.729,0.125,0.141,0.235,56.681,1.804,0.157,0.282,8.046,NA
819,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,2,83,30,1279,1,7,21,17,13,156,3,90,2,41,7,2025,3,61,21,441,NA,0.116,0.046,1.927,0.696,29.689,0.023,0.162,0.487,0.395,0.302,3.621,0.07,2.089,0.046,0.952,0.162,47.006,0.07,1.416,0.487,10.237,NA
820,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,NA,NA,3,177,553,NA,NA,13,1,1,9,NA,3,1,1,NA,773,45,309,NA,32,NA,NA,NA,0.156,9.214,28.787,NA,NA,0.677,0.052,0.052,0.469,NA,0.156,0.052,0.052,NA,40.239,2.343,16.085,NA,1.666,NA
821,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,3,22,141,NA,12,1,9,51,1493,1,35,25,12,8,2032,16,9,11,176,NA,0.049,0.049,0.074,0.542,3.472,NA,0.295,0.025,0.222,1.256,36.764,0.025,0.862,0.616,0.295,0.197,50.037,0.394,0.222,0.271,4.334,NA
822,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,11,7,1,23,69,NA,NA,25,28,NA,57,NA,109,14,13,NA,1101,10,12,NA,286,6,0.621,0.395,0.056,1.298,3.894,NA,NA,1.411,1.58,NA,3.217,NA,6.151,0.79,0.734,NA,62.133,0.564,0.677,NA,16.14,0.339
